,Position,Company,Location,Job URL,Job Description,Skills
669,Front End Developer,Techap Solutions,India,"https://www.glassdoor.co.in/job-listing/front-end-developer-techap-solutions-JV_KO0,19_KE20,36.htm?jl=1009698753825","To be successful as a JavaScript Developer, you should have an understanding of web markup and expert knowledge of JavaScript.&hellip;","Node.js, React, JavaScript, Software development, APIs"
670,Front End Developer Intern,TuringX,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-intern-turingx-JV_KO0,26_KE27,34.htm?jl=1009699778368","Optimize applications for maximum speed, scalability, and accessibility across devices and browsers. Stay updated on the latest front-end technologies, best…&hellip;","Node.js, CSS, React, Git, English"
671,WordPress Front-End Designer & Developer (Graphic Design & Video Editing Focus),Digital Marketing Agency,Remote,"https://www.glassdoor.co.in/job-listing/wordpress-front-end-designer-developer-graphic-design-video-editing-focus-digital-marketing-agency-JV_KO0,73_KE74,98.htm?jl=1009692241413","Conceptualize and design visually compelling website mockups (homepages, internal pages, landing pages) using industry-standard tools like *Photoshop, Figma*…&hellip;","Adobe Photoshop, Agency management, CSS, WordPress, Adobe Illustrator"
672,UI/UX Developer,American Express Global Business Travel,Gurgaon,"https://www.glassdoor.co.in/job-listing/ui-ux-developer-american-express-global-business-travel-JV_IC2921225_KO0,15_KE16,55.htm?jl=1009670581514","Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership…&hellip;","Authentication, SSO, Azure, Node.js, CSS"
673,Front End Developer JavaScript and JSON,PibyThree,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-javascript-and-json-pibythree-JV_KO0,39_KE40,49.htm?jl=1009687363319","Deep understanding of core web vitals, web performance optimization techniques and best practices. Ability to develop and implement customer web platforms using…&hellip;","Git, JavaScript, REST, APIs, Front-end development"
674,Advanced JavaScript Developer,Cyberfort Technologies,Remote,"https://www.glassdoor.co.in/job-listing/advanced-javascript-developer-cyberfort-technologies-JV_KO0,29_KE30,52.htm?jl=1009689962805","Strong critical thinking skills with knowledge of algorithms, system design, and coding best practices. At least 5+ years of experience working with HTML, CSS,…&hellip;","CSS, System design, English, Responsive web design, JavaScript"
675,Full Stack Developer - AI Trainer,Outlier Ai,Visakhapatnam,"https://www.glassdoor.co.in/job-listing/full-stack-developer-ai-trainer-outlier-ai-JV_IC2879606_KO0,31_KE32,42.htm?jl=1009696099056",Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institution. Certain projects offer incentive payments.&hellip;,"Java, C++, C, JavaScript, Swift"
676,Software Development Specialist,NTT DATA,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-development-specialist-ntt-data-JV_IC2940587_KO0,31_KE32,40.htm?jl=1009698147769",Have good understanding of industry and enterprise standards and align the delivery towards the desired level. Minimum of 3-6 years of experience.&hellip;,"Authentication, Node.js, CSS, React, Kanban"
677,Junior Front End Developer,Finpoint,Bengaluru,"https://www.glassdoor.co.in/job-listing/junior-front-end-developer-finpoint-JV_IC2940587_KO0,26_KE27,35.htm?jl=1006118945863","Optimize application for maximum speed, scalability and responsiveness. Proficient understanding of client-side scripting and JavaScript frameworks, including…&hellip;","Web design, CSS, Bootstrap, React, Git"
678,Wordpress Developer,Outright Solutions Pvt Ltd,India,"https://www.glassdoor.co.in/job-listing/wordpress-developer-outright-solutions-pvt-ltd-JV_KO0,19_KE20,46.htm?jl=1009664400324","The ideal candidate will have a strong understanding of WordPress development, design customization, and performance optimization.&hellip;","Website Maintenance, CSS, WordPress, Git, Responsive web design"
679,Web Developer,IAS Gurukul,Saket,"https://www.glassdoor.co.in/job-listing/web-developer-ias-gurukul-JV_IC4469283_KO0,13_KE14,25.htm?jl=1008461899522",10:00 am to 06:30 pm. 4+ years of proven working experience in web programming. Cooperate with web designers to match visual design intent.&hellip;,"Node.js, CSS, React, Relational databases, Application development"
680,JavaScript Developer - Typescript/HTML/CSS/LLM,Prolegion,Remote,"https://www.glassdoor.co.in/job-listing/javascript-developer-typescript-html-css-llm-prolegion-JV_KO0,44_KE45,54.htm?jl=1009698298488","Strong critical thinking skills with knowledge of algorithms, system design, and coding best practices. At least 5+ years of experience working with HTML, CSS,…&hellip;","CSS, System design, English, Responsive web design, JavaScript"
681,"Senior Manager Software Engineering, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/senior-manager-software-engineering-itc-nike-JV_KO0,39_KE40,44.htm?jl=1009644218736","If this is you, you’ll be working on the Consumer Product Innovation team and be one of the primary technical leaders on one of Nike’s emerging technology…&hellip;","Elasticsearch, Azure, Node.js, CSS, React"
682,Advanced JavaScript Developer,accede solution,Remote,"https://www.glassdoor.co.in/job-listing/advanced-javascript-developer-accede-solution-JV_KO0,29_KE30,45.htm?jl=1009684510668","Solid understanding of algorithms, system design, and best coding practices. We are partnering with a U.S.-based AI innovation company to hire skilled Front-End…&hellip;","CSS, System design, English, Responsive web design, JavaScript"
683,JavaScript Developer,Apping Technology India,Ahmedabad,"https://www.glassdoor.co.in/job-listing/javascript-developer-apping-technology-india-JV_IC2935226_KO0,20_KE21,44.htm?jl=1009685760497","Some skills that are required for a JavaScript developer include: *Designing and building applications *Using Java programming language, JavaScript developers…&hellip;","Node.js, CSS, Bootstrap, React, Git"
684,Java Developer,QuantumBricks,Remote,"https://www.glassdoor.co.in/job-listing/java-developer-quantumbricks-JV_KO0,14_KE15,28.htm?jl=1009607403415","Write clean, scalable, and well-documented code following industry best practices. Develop, test, and maintain web applications using *Java, Spring Boot, and…&hellip;","CI/CD, Azure, CSS, Software troubleshooting, React"
685,ServiceNow Developer,QuantumBricks,Remote,"https://www.glassdoor.co.in/job-listing/servicenow-developer-quantumbricks-JV_KO0,20_KE21,34.htm?jl=1009654238506","Develop custom scripts using JavaScript to address client needs. Design, develop, and implement custom solutions within the ServiceNow platform.&hellip;","Incident management, Software troubleshooting, SOAP, JavaScript, REST"
686,Junior Software Developer,jobsequel.in,Remote,"https://www.glassdoor.co.in/job-listing/junior-software-developer-jobsequel-in-JV_KO0,25_KE26,38.htm?jl=1009664632385","As a Junior Software Engineer, you will be involved in the design, development, and maintenance of software applications.&hellip;","Azure, Node.js, CSS, Software troubleshooting, React"
687,"Software Engineer, QA - X Delivery",Boston Consulting Group,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-engineer-qa-x-delivery-boston-consulting-group-JV_IC2940587_KO0,31_KE32,55.htm?jl=1009687134854","Experience working with an automated testing tool (Selenium or an off-the-shelf tool). Develop testing best practices, and an emphasis on security best…&hellip;","CI/CD, Node.js, CSS, React, DevOps"
688,Front End Developer,Spiralyze,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-spiralyze-JV_KO0,19_KE20,29.htm?jl=1009688919703","Full-time position with semi-flexible working hours: Must overlap for at least 4 hours each day with ET (usually 8 AM to 12 PM EST), the other 4 hours are up to…&hellip;","CSS, Responsive web design, JavaScript, Conversion optimization, UI"
689,Full Stack Developer,ADLINK MARKETING COMPANY,Remote,"https://www.glassdoor.co.in/job-listing/full-stack-developer-adlink-marketing-company-JV_KO0,20_KE21,45.htm?jl=1009687568830","*Code Quality:* Write well-organized, efficient, and reusable code that adheres to best practices and industry standards. Bonus Skills (Nice-to-Have):*.&hellip;","Web design, CI/CD, Azure, Node.js, CSS"
690,Java Senior Developer/Team Lead,Koshali Arts & Crafts Enterprise,India,"https://www.glassdoor.co.in/job-listing/java-senior-developer-team-lead-koshali-arts-crafts-enterprise-JV_KO0,31_KE32,62.htm?jl=1009700301451","Stay updated with the latest industry trends and technologies to ensure our applications are up-to-date. Mentor and guide junior developers, ensuring adherence…&hellip;","CI/CD, CSS, React, Kubernetes, Git"
691,Lead Software Engineer,Atlas Copco (India) Private Ltd.,Pune,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-atlas-copco-india-private-ltd-JV_IC2856202_KO0,22_KE23,52.htm?jl=1009688823299","NET Full Stack Developer, you play a pivotal role in both the frontend and backend aspects of web development using the . NET and SQL development is essential.&hellip;","Jira, CI/CD, SSO, Azure, MVC"
692,"Lead Software Engineer, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/lead-software-engineer-itc-nike-JV_KO0,26_KE27,31.htm?jl=1009644218735","On a daily basis, you will collaborate with peer software engineers, product managers, and architects on product teams to achieve business objectives.&hellip;","CI/CD, Authentication, Computer science, Cloud architecture, Node.js"
693,Dot Net Developer,XCode Web Solutions LLP,Ahmedabad,"https://www.glassdoor.co.in/job-listing/dot-net-developer-xcode-web-solutions-llp-JV_IC2935226_KO0,17_KE18,41.htm?jl=1009658362764","Stay updated with the latest industry trends and technologies. Collaborate with senior developers, designers, and project managers to deliver quality solutions.&hellip;","ASP.NET, MVC, React, Sales, Relational databases"
694,Senior PHP Developer,joinsmarty.com,Hyderābād,"https://www.glassdoor.co.in/job-listing/senior-php-developer-joinsmarty-com-JV_IC2865319_KO0,20_KE21,35.htm?jl=1008489916798",Ability to take graphics from a designer in Adobe xD and implement them into an app or web page. Stable work history and an ability to collaborate effectively…&hellip;,"Gradle, CSS, React, Kanban, Mobile applications"
695,"Software Engineer -III, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-iii-itc-nike-JV_KO0,25_KE26,30.htm?jl=1009644218743",We’re looking for a Senior Software Engineer to solve complex software engineering problems supporting Nike’s pursuit of delivering state of the art tools to…&hellip;,"CI/CD, Elasticsearch, Cloud architecture, React, DevOps"
696,"Senior Manager Software Engineering, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/senior-manager-software-engineering-itc-nike-JV_KO0,39_KE40,44.htm?jl=1009644218736","If this is you, you’ll be working on the Consumer Product Innovation team and be one of the primary technical leaders on one of Nike’s emerging technology…&hellip;","Elasticsearch, Azure, Node.js, CSS, React"
697,Manager IT - React Web Development Lead,Infineon Technologies,Ahmedabad,"https://www.glassdoor.co.in/job-listing/manager-it-react-web-development-lead-infineon-technologies-JV_IC2935226_KO0,37_KE38,59.htm?jl=1009599727690",Collaborate with product Owners and Architects to understand business requirements and develop technical solutions to meet those needs.&hellip;,"CI/CD, Oracle, React, Web development, DevOps"
698,UI/UX Developer,American Express Global Business Travel,Gurgaon,"https://www.glassdoor.co.in/job-listing/ui-ux-developer-american-express-global-business-travel-JV_IC2921225_KO0,15_KE16,55.htm?jl=1009670581514","If you’re passionate about our mission and believe you’d be a phenomenal addition to our team, don’t worry about “checking every box;"" please apply anyway.&hellip;","Authentication, SSO, Azure, Node.js, CSS"
699,Senior Software Engineer - X Delivery,Boston Consulting Group,Bengaluru,"https://www.glassdoor.co.in/job-listing/senior-software-engineer-x-delivery-boston-consulting-group-JV_IC2940587_KO0,35_KE36,59.htm?jl=1009462647460","We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to…&hellip;","Microsoft Powerpoint, CI/CD, Azure, Oracle, Cloud architecture"
700,React / Next.js Developer,Stack Console,Remote,"https://www.glassdoor.co.in/job-listing/react-next-js-developer-stack-console-JV_KO0,23_KE24,37.htm?jl=1008697768322","If you’re a developer with a razor-sharp mind and a thorough understanding of React.js and its core principles, we want you to join our team and help us create…&hellip;","React, JavaScript"
701,Front End Developer Intern,TuringX,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-intern-turingx-JV_KO0,26_KE27,34.htm?jl=1009699778368","Optimize applications for maximum speed, scalability, and accessibility across devices and browsers. Stay updated on the latest front-end technologies, best…&hellip;","Node.js, CSS, React, Git, English"
702,React.js Developer Intern,Aiking Software Solutions Pvt Ltd,Remote,"https://www.glassdoor.co.in/job-listing/react-js-developer-intern-aiking-software-solutions-pvt-ltd-JV_KO0,25_KE26,59.htm?jl=1009674601411","Understanding of web development principles and best practices. Ensure responsive, high-performance, and scalable front-end solutions.&hellip;","CSS, React, Web development, Git, JavaScript"
703,Front End Developer,Techap Solutions,India,"https://www.glassdoor.co.in/job-listing/front-end-developer-techap-solutions-JV_KO0,19_KE20,36.htm?jl=1009698753825","To be successful as a JavaScript Developer, you should have an understanding of web markup and expert knowledge of JavaScript.&hellip;","Node.js, React, JavaScript, Software development, APIs"
704,React Developer,The Hub Ops,Remote,"https://www.glassdoor.co.in/job-listing/react-developer-the-hub-ops-JV_KO0,15_KE16,27.htm?jl=1009689977538","As a *Full Stack Developer* at HubOps, you will be responsible for designing, developing, and maintaining web applications and APIs that meet our high standards…&hellip;","CI/CD, Go, React, Continuous integration, REST"
705,Junior Front End Developer,Finpoint,Bengaluru,"https://www.glassdoor.co.in/job-listing/junior-front-end-developer-finpoint-JV_IC2940587_KO0,26_KE27,35.htm?jl=1006118945863","Optimize application for maximum speed, scalability and responsiveness. Proficient understanding of client-side scripting and JavaScript frameworks, including…&hellip;","Web design, CSS, Bootstrap, React, Git"
706,"Website Developer (React, Frontend)",Momentum Infotech,Remote,"https://www.glassdoor.co.in/job-listing/website-developer-react-frontend-momentum-infotech-JV_KO0,32_KE33,50.htm?jl=1009674614358","Troubleshoot, debug, and optimize applications for maximum speed and scalability. Design and implement robust, user-friendly, and visually appealing UI/UX…&hellip;","AJAX, CSS, Software troubleshooting, React, Git"
707,Software Development Specialist,NTT DATA,Bengaluru,"https://www.glassdoor.co.in/job-listing/software-development-specialist-ntt-data-JV_IC2940587_KO0,31_KE32,40.htm?jl=1009698147769",Have good understanding of industry and enterprise standards and align the delivery towards the desired level. Minimum of 3-6 years of experience.&hellip;,"Authentication, Node.js, CSS, React, Kanban"
708,React developer,Sourcebae,Remote,"https://www.glassdoor.co.in/job-listing/react-developer-sourcebae-JV_KO0,15_KE16,25.htm?jl=1009602980401","As a React Developer, you will be responsible for developing and maintaining high-quality web applications using React. Experience with Git and version control.&hellip;","CSS, React, Git, Analysis skills, JavaScript"
709,Web Developer,IAS Gurukul,Saket,"https://www.glassdoor.co.in/job-listing/web-developer-ias-gurukul-JV_IC4469283_KO0,13_KE14,25.htm?jl=1008461899522",10:00 am to 06:30 pm. 4+ years of proven working experience in web programming. Cooperate with web designers to match visual design intent.&hellip;,"Node.js, CSS, React, Relational databases, Application development"
710,React Developer,Appening Infotech,Remote,"https://www.glassdoor.co.in/job-listing/react-developer-appening-infotech-JV_KO0,15_KE16,33.htm?jl=1009147837093","Contribute best-in-class programming skills to develop highly innovative, consumer-facing web products. You have the flexibility to work from home at your…&hellip;","MVC, React, JavaScript, REST, APIs"
711,Full Stack Developer,ADLINK MARKETING COMPANY,Remote,"https://www.glassdoor.co.in/job-listing/full-stack-developer-adlink-marketing-company-JV_KO0,20_KE21,45.htm?jl=1009687568830","*Code Quality:* Write well-organized, efficient, and reusable code that adheres to best practices and industry standards. Bonus Skills (Nice-to-Have):*.&hellip;","Web design, CI/CD, Azure, Node.js, CSS"
712,React/NextJs Developer,Necxis,Remote,"https://www.glassdoor.co.in/job-listing/react-nextjs-developer-necxis-JV_KO0,22_KE23,29.htm?jl=1009667784011",Ensure the technical feasibility of UI/UX designs and optimize them for maximum speed and scalability. Collaborate with the design team to understand visual…&hellip;,"CSS, React, JavaScript, REST, Redux"
713,React JS Developer,Tatwa Technologies,Bhubaneshwar,"https://www.glassdoor.co.in/job-listing/react-js-developer-tatwa-technologies-JV_IC4469444_KO0,18_KE19,37.htm?jl=1009424989331","Key Skills: Javascript MySQL/MongoDB/DynamoDB/SQL server ReactJs,NextJs React Hook Redux GraphQl AWS, Serverless…&hellip;","React, Microsoft SQL Server, MongoDB, AWS, JavaScript"
714,React Developer (Freshers Welcome),MindNudge,Gurgaon,"https://www.glassdoor.co.in/job-listing/react-developer-freshers-welcome-mindnudge-JV_IC2921225_KO0,32_KE33,42.htm?jl=1008986377176","FloatIQ is a marketplace for working capital, where customers get maximum discounts by making early payments to their suppliers.&hellip;","Web design, CSS, Bootstrap, React, iOS"
715,Front End Developer,Propacity,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-propacity-JV_KO0,19_KE20,29.htm?jl=1009681326448","Stay updated on industry trends and technologies to ensure our web solutions remain cutting-edge. Work closely with our design team, applying your design skills…&hellip;","CSS, React, Web development, Git, Front-end development"
716,React developer,rccenterprises,India,"https://www.glassdoor.co.in/job-listing/react-developer-rccenterprises-JV_KO0,15_KE16,30.htm?jl=1009668750667",Optimizing components for maximum performance across various web browsers. Staying up-to-date with the latest industry trends and technologies.&hellip;,"CSS, React, JavaScript, REST, Redux"
717,Front End Developer,ocena,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-ocena-JV_KO0,19_KE20,25.htm?jl=1009667138831","Demonstrated experience in successfully delivering frontend projects, showcasing a strong understanding of industry best practices.&hellip;","CSS, React, JavaScript, Angular, Front-end development"
718,Front End Developer Intern,Necxis,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-intern-necxis-JV_KO0,26_KE27,33.htm?jl=1009682634763",We are looking for a passionate and talented *Frontend Developer Intern* to help develop and maintain our web and mobile applications.&hellip;,"React, iOS development, iOS, Responsive web design, JavaScript"
719,Junior Software Developer,jobsequel.in,Remote,"https://www.glassdoor.co.in/job-listing/junior-software-developer-jobsequel-in-JV_KO0,25_KE26,38.htm?jl=1009664632385","As a Junior Software Engineer, you will be involved in the design, development, and maintenance of software applications.&hellip;","Azure, Node.js, CSS, Software troubleshooting, React"
720,Java Senior Developer/Team Lead,Koshali Arts & Crafts Enterprise,India,"https://www.glassdoor.co.in/job-listing/java-senior-developer-team-lead-koshali-arts-crafts-enterprise-JV_KO0,31_KE32,62.htm?jl=1009700301451","Stay updated with the latest industry trends and technologies to ensure our applications are up-to-date. Mentor and guide junior developers, ensuring adherence…&hellip;","CI/CD, CSS, React, Kubernetes, Git"
721,Senior Software Engineering Lead - Java Angular FSE,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/senior-software-engineering-lead-java-angular-fse-optum-JV_IC2865319_KO0,49_KE50,55.htm?jl=1009663831219","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Azure, DevOps, NoSQL, Performance management"
722,Software Engineering Lead - .net .C# + Azure,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/software-engineering-lead-net-c-azure-optum-JV_IC2865319_KO0,37_KE38,43.htm?jl=1009699002437","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, ASP.NET, Azure, DevOps, C#"
723,"Software Engineer -III, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-iii-itc-nike-JV_KO0,25_KE26,30.htm?jl=1009644218743",We’re looking for a Senior Software Engineer to solve complex software engineering problems supporting Nike’s pursuit of delivering state of the art tools to…&hellip;,"CI/CD, Elasticsearch, Cloud architecture, React, DevOps"
724,Dot Net Developer,XCode Web Solutions LLP,Ahmedabad,"https://www.glassdoor.co.in/job-listing/dot-net-developer-xcode-web-solutions-llp-JV_IC2935226_KO0,17_KE18,41.htm?jl=1009658362764","Stay updated with the latest industry trends and technologies. Collaborate with senior developers, designers, and project managers to deliver quality solutions.&hellip;","ASP.NET, MVC, React, Sales, Relational databases"
725,Associate Principal Engineer,Aristocrat,Noida,"https://www.glassdoor.co.in/job-listing/associate-principal-engineer-aristocrat-JV_IC4477468_KO0,28_KE29,39.htm?jl=1009662129499",Minimum 3 years of working experience of No-SQL database like MongoDB. The candidate will be involved in working on cutting edge technologies and work on…&hellip;,"CI/CD, Oracle, JUnit, Kubernetes, Web development"
726,Senior Software Engineer - Java Fullstack,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/senior-software-engineer-java-fullstack-optum-JV_IC2865319_KO0,39_KE40,45.htm?jl=1009690212667","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…&hellip;","CI/CD, Oracle, Node.js, React, Kubernetes"
727,Angular Developer,Leads To Company,Remote,"https://www.glassdoor.co.in/job-listing/angular-developer-leads-to-company-JV_KO0,17_KE18,34.htm?jl=1009674076173","You will also be required to collaborate with UX designers, backend developers, and project managers to create software solutions that fulfill business needs.&hellip;","Node.js, CSS, MongoDB, Java, Analysis skills"
728,Front End Developer Intern,TuringX,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-intern-turingx-JV_KO0,26_KE27,34.htm?jl=1009699778368","Optimize applications for maximum speed, scalability, and accessibility across devices and browsers. Stay updated on the latest front-end technologies, best…&hellip;","Node.js, CSS, React, Git, English"
729,Angular Developer,Entoss Technologies,Remote,"https://www.glassdoor.co.in/job-listing/angular-developer-entoss-technologies-JV_KO0,17_KE18,37.htm?jl=1009693818208",Optimize applications for maximum speed and scalability. You will work closely with our development team to create engaging and dynamic web applications for our…&hellip;,"CSS, REST, Redux, Angular, APIs"
730,Web Developer,IAS Gurukul,Saket,"https://www.glassdoor.co.in/job-listing/web-developer-ias-gurukul-JV_IC4469283_KO0,13_KE14,25.htm?jl=1008461899522",10:00 am to 06:30 pm. 4+ years of proven working experience in web programming. Cooperate with web designers to match visual design intent.&hellip;,"Node.js, CSS, React, Relational databases, Application development"
731,Angular Developer (Remote – India),LARVOL,India,"https://www.glassdoor.co.in/job-listing/angular-developer-remote-india-larvol-JV_KO0,30_KE31,37.htm?jl=1009695680512",3–4 years of strong experience working with Angular (Angular 8+ preferred). Comfortable working in a fully remote setup with 3–4 hours of daily overlap with PST…&hellip;,"CSS, Software troubleshooting, Git, JavaScript, REST"
732,Sr. Angular Developer,Gyrus Systems,Remote,"https://www.glassdoor.co.in/job-listing/sr-angular-developer-gyrus-systems-JV_KO0,20_KE21,34.htm?jl=1009683551656",Collaborate with internal teams to produce software design and architecture focused on front-end solutions. Proven experience as an *Angular Developer* with a…&hellip;,"AJAX, Azure, CSS, Bootstrap, AWS"
733,Front End Developer,ocena,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-ocena-JV_KO0,19_KE20,25.htm?jl=1009667138831","Demonstrated experience in successfully delivering frontend projects, showcasing a strong understanding of industry best practices.&hellip;","CSS, React, JavaScript, Angular, Front-end development"
734,Angular Developer,Citta Solutions,Remote,"https://www.glassdoor.co.in/job-listing/angular-developer-citta-solutions-JV_KO0,17_KE18,33.htm?jl=1007682981360",Experience with Angular (Angular 10.0 and higher). If you also have experience in Agile frameworks and popular coding languages we’d like to meet you.&hellip;,"CSS, JavaScript, REST, Angular, Agile"
735,Front-end/UI Developer,MindTrilogy IT Solutions Pvt. Ltd,Remote,"https://www.glassdoor.co.in/job-listing/front-end-ui-developer-mindtrilogy-it-solutions-pvt-ltd-JV_KO0,22_KE23,55.htm?jl=1009690307230","You will work closely with stakeholders and back-end developers to architect and deliver seamless, user-friendly, and high-performance web applications.&hellip;","Performance tuning, TestNG, CSS, Software troubleshooting, Bootstrap"
736,Angular Developer,Heptarc Technology Solution,India,"https://www.glassdoor.co.in/job-listing/angular-developer-heptarc-technology-solution-JV_KO0,17_KE18,45.htm?jl=1009552531910",Collaborating with other development teams to support business on day to day development requests Innovating and testing out new solutions through Core web…&hellip;,"CSS, JavaScript, SCSS, Angular, TypeScript"
737,Full Stack Developer,ADLINK MARKETING COMPANY,Remote,"https://www.glassdoor.co.in/job-listing/full-stack-developer-adlink-marketing-company-JV_KO0,20_KE21,45.htm?jl=1009687568830","*Code Quality:* Write well-organized, efficient, and reusable code that adheres to best practices and industry standards. Bonus Skills (Nice-to-Have):*.&hellip;","Web design, CI/CD, Azure, Node.js, CSS"
738,Angular Developer,Datrax Services Pvt Ltd,India,"https://www.glassdoor.co.in/job-listing/angular-developer-datrax-services-pvt-ltd-JV_KO0,17_KE18,41.htm?jl=1009677962644","We are seeking a skilled Angular Developer with 3 to 5 years of relevant experience who is proficient in Angular 17 and above. Job Types: Full-time, Permanent.&hellip;","CSS, Writing skills, SCSS, Angular, UX"
739,Front End Developer,Inspire Transoft pvt Ltd,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-inspire-transoft-pvt-ltd-JV_KO0,19_KE20,44.htm?jl=1009678087258","They often collaborate with backend developers, designers, and stakeholders to bring concepts to life, focusing on delivering an engaging and seamless user…&hellip;","Node.js, CSS, React, MongoDB, PHP"
740,Junior Software Developer,jobsequel.in,Remote,"https://www.glassdoor.co.in/job-listing/junior-software-developer-jobsequel-in-JV_KO0,25_KE26,38.htm?jl=1009664632385","As a Junior Software Engineer, you will be involved in the design, development, and maintenance of software applications.&hellip;","Azure, Node.js, CSS, Software troubleshooting, React"
741,Java Developer,QuantumBricks,Remote,"https://www.glassdoor.co.in/job-listing/java-developer-quantumbricks-JV_KO0,14_KE15,28.htm?jl=1009607403415","Write clean, scalable, and well-documented code following industry best practices. Develop, test, and maintain web applications using *Java, Spring Boot, and…&hellip;","CI/CD, Azure, CSS, Software troubleshooting, React"
742,Senior HTML-CSS Developer,Tarini Consulting,Remote,"https://www.glassdoor.co.in/job-listing/senior-html-css-developer-tarini-consulting-JV_KO0,25_KE26,43.htm?jl=1009691015903","As a Senior HTML/CSS Developer, you’ll be responsible for shaping the front-end of our web applications and ensuring they meet the highest standards of quality…&hellip;","Jira, Web accessibility, CSS, React, Web development"
743,Junior Angular Developer,Maxpro Technologies Private Limited,Chennai,"https://www.glassdoor.co.in/job-listing/junior-angular-developer-maxpro-technologies-private-limited-JV_IC2833209_KO0,24_KE25,60.htm?jl=1009687650555","Note: Freshers and below 2 years experience candidates please excuse.*. Total work: 3 years (Required). Working experience skills angular, javascript,RxJS.&hellip;","CSS, Mobile applications, Microsoft SQL Server, Android, SQL"
744,Front End Developer,Growthzi,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-growthzi-JV_KO0,19_KE20,28.htm?jl=1009687328088",Maintain consistency in design and user experience across different browsers and devices. Experience with responsive design principles and cross-browser…&hellip;,"CSS, React, Git, Responsive web design, JavaScript"
745,Front End Developer,Morgans Holding,Remote,"https://www.glassdoor.co.in/job-listing/front-end-developer-morgans-holding-JV_KO0,19_KE20,35.htm?jl=1009698574313","Write *clean, maintainable code* following best practices and design patterns. Collaborate with cross-functional teams to define, design, and deliver new…&hellip;","Web accessibility, CI/CD, CSS, Software troubleshooting, Git"
746,Angular Developer,Syncwell Infotech Private Limited,Noida,"https://www.glassdoor.co.in/job-listing/angular-developer-syncwell-infotech-private-limited-JV_IC4477468_KO0,17_KE18,51.htm?jl=1009679368092","Person should be able to handle requirements, estimation and deliveries with ownership. Jenkins and Dev ops knowledge would be nice to have.&hellip;","DevOps, Angular, Agile, Jenkins, HTML"
747,Angular - Developer,Zensar Technologies,Hyderābād,"https://www.glassdoor.co.in/job-listing/angular-developer-zensar-technologies-JV_IC2865319_KO0,17_KE18,37.htm?jl=1009697630054","Contribute to the overall development process, from design to deployment, in an Agile environment. Ensure application performance, scalability, and security by…&hellip;","CI/CD, Azure, MVC, CSS, Software troubleshooting"
748,Angular Developer - Fresher,SplendorNet Technologies,Pune,"https://www.glassdoor.co.in/job-listing/angular-developer-fresher-splendornet-technologies-JV_IC2856202_KO0,25_KE26,50.htm?jl=1006800157324","Primary focus will be to implement a complete user interface in the form of a mobile and desktop web app, with a focus on performance.&hellip;","CSS, JavaScript, Angular, HTML"
749,Angular Developer,Wipro Limited,Gurgaon,"https://www.glassdoor.co.in/job-listing/angular-developer-wipro-limited-JV_IC2921225_KO0,17_KE18,31.htm?jl=1009699943441","Setting the criteria, parameters, scope/out-scope of testing and involve in UAT (User Acceptance Testing). Ensure good quality of interaction with customer w.r…&hellip;","Visual Basic, Quality assurance, Angular, Test cases, Business requirements"
750,"SOFTWARE ENGINEER II, ITC",NIKE,Karnataka,"https://www.glassdoor.co.in/job-listing/software-engineer-ii-itc-nike-JV_KO0,24_KE25,29.htm?jl=1009675975893",Provide responsive support and operations for the platforms you help build. Work with leadership to define delivery schedules of key features through an agile…&hellip;,"Azure, Cloud architecture, Node.js, DevOps, Spark"
